ID,Name,Environmental data? Y/N/Part,"Priority (1,2,3)"
org-dga-18b6b47c-13fc-4d7c-b873-43b6b2e663d2,Sustainable Development Goals,Part,
org-dga-1991ac71-795d-48f5-bb2c-1a1baf97dc8d,"School of Biological Sciences (SBS), University of Tasmania (UTAS)",Part,
org-dga-1b0498d1-1990-497e-ac8b-f575ec2689f8,"School of Veterinary and Life Sciences (VLS), Murdoch University",Part,
org-dga-1c9adae3-abe1-4a19-9aa1-f81e7213b92d,Land Tasmania,Y,
org-dga-1d32be70-3734-4b95-a7bd-cfe09b89c24d,Ausgrid,Y,
org-dga-1dbec0a7-bf21-4332-b2e8-1bc1972b74df,Airborne Research Australia (ARA),Y,
org-dga-1e0647df-6289-40a2-96a3-90ea3c95d1fd,Australian Communications and Media Authority,,
org-dga-1f4f208a-4384-4317-93f9-0e4027522533,"School of Biological Sciences and Biotechnology (BSB), Murdoch University",Part,
org-dga-21451c03-b8f7-4e0b-a4d8-1e41f0976d66,City of Launceston,Part,
org-dga-215f52b9-683e-4b42-b0c3-8cfb1274e5ae,NSW Rural Fire Service,Part,
org-dga-21df9cc3-7a0a-4959-a054-620c5a7952ec,"Department of Biological Sciences, Macquarie University",Part,
org-dga-23299fd3-38bd-43ff-979b-c6b837ea8892,Brisbane City Council,Part,
org-dga-23442a5f-067a-4e22-a1db-2b98c2a32b22,Australian Radiation Protection and Nuclear Safety Agency (ARPANSA),Y,
org-dga-23a0ef5d-23d1-4ebf-b5a3-7d4058459c39,City of Boroondara,Part,
org-dga-23f904cc-9cd7-40d0-a494-c64a062bf0f7,Alpine Shire Council,Part,
org-dga-24dbb30d-362c-49b6-a007-e9bf172a8008, Data Request Default Organisation,,
org-dga-24f6ada6-f694-482f-b68f-a7cb10d7205a,Australian Broadcasting Corporation,,
org-dga-25854ea7-f4c7-440b-994e-f29d3c386cba,Central Goldfields Shire Council,Part,
org-dga-26263ca5-3da8-46ff-86fb-e0db35b83ba3,Mildura Rural City Council,Part,
org-dga-262d9dd7-c866-44bc-94b0-5cbe032c9981,Department of Health and Human Services (Tasmania),Part,
org-dga-264b467f-1a36-4c2b-b2ca-e71938c44301,West Wimmera Shire Council,Part,
org-dga-267b0761-cdc2-4642-98e0-4eef7ece3c0a,Seacare,Y,
